Date,AAPL,MSFT,JPM
2016-02-02,21.347158432006836,44.23136901855469,46.570655822753906
2016-02-03,21.769664764404297,44.52608871459961,45.83255386352539
2016-02-04,21.944583892822266,45.293907165527344,45.691951751708984
2016-02-05,21.358491897583008,44.78978729248047,44.075164794921875
2016-02-08,21.58338737487793,43.85133743286133,43.416141510009766
2016-02-09,21.5788516998291,43.5876350402832,43.301918029785156
2016-02-10,21.415287017822266,43.060245513916016,43.679752349853516
2016-02-11,21.285799026489258,41.16006851196289,43.66218185424805
2016-02-12,21.35167694091797,44.58814239501953,44.373924255371094
2016-02-16,21.95367431640625,45.255126953125,45.21467971801758
2016-02-17,22.289886474609375,45.58087158203125,46.391719818115234
2016-02-18,21.86735725402832,44.83631896972656,46.18816375732422
2016-02-19,21.81737518310547,44.84406661987305,45.860721588134766
2016-02-22,22.008193969726562,45.425750732421875,46.595272064208984
2016-02-23,21.51068878173828,43.525596618652344,45.2943229675293
2016-02-24,21.831003189086914,43.54109573364258,45.45362091064453
2016-02-25,21.980937957763672,44.215850830078125,46.10851287841797
2016-02-26,22.015010833740234,44.62690734863281,45.40052795410156
2016-02-29,21.96503257751465,43.665184020996094,45.02881622314453
2016-03-01,22.837366104125977,45.91437530517578,46.533321380615234
2016-03-02,22.887353897094727,46.34868621826172,46.86076354980469
2016-03-03,23.057714462280273,46.50381088256836,46.329769134521484
2016-03-04,23.400754928588867,46.5736083984375,46.04658126831055
2016-03-07,23.141773223876953,46.48830032348633,45.16157150268555
2016-03-08,22.950958251953125,45.588626861572266,45.71027755737305
2016-03-09,22.971397399902344,45.852333068847656,46.76343536376953
2016-03-10,22.982759475708008,45.45677947998047,46.06427001953125
2016-03-11,23.23036766052246,46.02294921875,46.96696472167969
2016-03-14,23.289430618286133,45.852333068847656,47.05547332763672
2016-03-15,23.757404327392578,45.91437530517578,47.42717742919922
2016-03-16,24.07317543029785,45.69720458984375,48.09978103637695
2016-03-17,24.03455352783203,45.565364837646484,48.37412643432617
2016-03-18,24.061813354492188,46.90711975097656,47.33866882324219
2016-03-21,24.05954360961914,46.891605377197266,47.66612243652344
2016-03-22,24.243547439575195,46.720985412597656,47.85196304321289
2016-03-23,24.109516143798828,46.48830032348633,47.76347732543945
2016-03-24,24.005014419555664,46.13154220581055,47.97587585449219
2016-03-28,23.895977020263672,46.06949234008789,47.38291931152344
2016-03-29,24.461627960205078,45.782527923583984,48.41838455200195
2016-03-30,24.88870620727539,46.30991744995117,48.719268798828125
2016-03-31,24.75922393798828,45.92989730834961,48.878570556640625
